02.15.2022 04:46:17.775,Time From start,Action author,Action target,Action number,Message,First clown Appraisals Valence,First clown Appraisals Arousal,First clown Appraisals Dominance,First clown Feelings Valence,First clown Feelings Arousal,First clown Feelings Dominance,
02.15.2022 04:46:22.906,Time From start29.63971,Redhead,Whitehair,24,Redhead shows middle finger to <target>,-0.0210000004768371,-0.00600000032782555,-0.00900000071525575,-0.0231000005245209,-0.00660000036060811,-0.00990000078678133,NAN,
02.15.2022 04:46:24.940,Time From start31.67336,Redhead,Whitehair,16,Redhead chases <target>,-0.105948799550003,0.0898431984580398,-0.0280352009419143,-0.116543679505003,0.0988275183038437,-0.0308387210361058,NAN,
02.15.2022 04:46:25.954,Time From start32.68719,Redhead,Whitehair,24,Redhead shows middle finger to <target>,-0.123770335914039,0.0811479020693716,-0.0361941455954921,-0.136147369505443,0.0892626922763087,-0.0398135601550413,NAN,
02.15.2022 04:46:26.975,Time From start33.70886,Redhead,Whitehair,24,Redhead shows middle finger to <target>,-0.141057226165909,0.072713464582729,-0.0441083218997363,-0.1551629487825,0.0799848110410019,-0.0485191540897099,NAN,
02.15.2022 04:46:27.994,Time From start34.7273,Redhead,Whitehair,29,Redhead slaps <target> into the face,-0.166825510404872,0.0915320610354031,-0.042785072190163,-0.183508061445359,0.100685267138943,-0.0470635794091793,NAN,
02.15.2022 04:46:29.017,Time From start35.75053,Redhead,Whitehair,22,Redhead ignores <target>,-0.1768207454899,0.0887860990952263,-0.0415015199734543,-0.19450282003889,0.0976647090047489,-0.0456516719707998,NAN,
02.15.2022 04:46:30.484,Time From start37.21718,Redhead,-,7,Redhead walks to the -,-0.1768207454899,0.0887860990952263,-0.0415015199734543,-0.19450282003889,0.0976647090047489,-0.0456516719707998,NAN,
