05.04.2022 05:37:39.819,Time From start,Action author,Action target,Action number,Message,First clown Appraisals Valence,First clown Appraisals Arousal,First clown Appraisals Dominance,First clown Feelings Valence,First clown Feelings Arousal,First clown Feelings Dominance,
05.04.2022 05:37:43.166,8.121244,Redhead,-,6,Redhead takes the -,0,0,0,0,0,0,NAN,
05.04.2022 05:37:44.211,9.165883,Redhead,Whitehair,33,Redhead ignores agent's greeting,-0.0400000005960464,0.00400000011920929,-0.0400000005960464,-0.0440000006556511,0.00440000013113022,-0.0440000006556511,NAN,
05.04.2022 05:37:45.235,10.18989,Whitehair,-,40,Redhead gets out of the trash,-0.0130000005662441,0.0538000001132488,-0.0380000005662441,-0.0143000006228685,0.0591800001245737,-0.0418000006228685,NAN,
05.04.2022 05:37:46.269,11.22419,Redhead,Whitehair,27,Redhead points finger at agent,-0.0148700006182492,0.0542620001339018,-0.0376200005549192,-0.0163570006800741,0.059688200147292,-0.0413820006104112,NAN,
05.04.2022 05:37:47.303,12.25746,Redhead,Whitehair,27,Redhead points finger at agent,-0.0167213006694555,0.0547193801542795,-0.0372438005437642,-0.0183934307364011,0.0601913181697074,-0.0409681805981407,NAN,
05.04.2022 05:37:48.320,13.27438,Whitehair,-,39,Redhead leaves the room,-0.0697180233046772,0.0514362172145615,-0.0350091724223422,-0.0766898256351449,0.0565798389360177,-0.0385100896645765,NAN,
05.04.2022 05:37:49.360,14.31521,Redhead,Whitehair,29,Redhead slaps agent into the face,-0.0976264837145194,0.0708931311136451,-0.0339588972079378,-0.107389132085971,0.0779824442250096,-0.0373547869287316,NAN,
05.04.2022 05:37:50.382,15.33662,Whitehair,-,41,Redhead ruffles his hair,-0.101650218937333,0.0751841998664506,-0.0336193082307981,-0.111815240831066,0.0827026198530956,-0.036981239053878,NAN,
05.04.2022 05:37:55.562,20.51702,Redhead,Whitehair,18,Redhead fights agent,-0.146567707990466,0.121424989873128,-0.0319383428192582,-0.161224478789513,0.133567488860441,-0.0351321771011841,NAN,
05.04.2022 05:37:56.601,21.55603,Redhead,-,7,Redhead walks to the -,-0.146567707990466,0.121424989873128,-0.0319383428192582,-0.161224478789513,0.133567488860441,-0.0351321771011841,NAN,
05.04.2022 05:37:57.631,22.58639,Whitehair,-,36,Redhead enters the room,-0.146567707990466,0.121424989873128,-0.0319383428192582,-0.161224478789513,0.133567488860441,-0.0351321771011841,NAN,
05.04.2022 05:37:58.665,23.6202,Redhead,Whitehair,31,Redhead takes - from agent,-0.112170675383937,0.147782241224277,-0.0609801936886999,-0.12338774292233,0.162560465346705,-0.0670782130575699,NAN,
05.04.2022 05:37:59.699,24.65411,Redhead,Whitehair,16,Redhead chases agent,-0.127683848599744,0.169870951427616,-0.0785409862028281,-0.140452233459718,0.186858046570378,-0.0863950848231109,NAN,
05.04.2022 05:38:00.715,25.66967,Redhead,Whitehair,31,Redhead takes - from agent,-0.0938533317974473,0.194774823874379,-0.106184757715208,-0.103238664977192,0.214252306261817,-0.116803233486729,NAN,
05.04.2022 05:38:01.732,26.68677,Whitehair,-,40,Redhead gets out of the trash,-0.064160665207575,0.23503608268066,-0.100875519829448,-0.0705767317283325,0.258539690948726,-0.110963071812392,NAN,
05.04.2022 05:38:10.982,35.93652,Redhead,-,4,Redhead rips the - off the hanger,-0.0705190585310374,0.239685721803929,-0.0998667646161215,-0.0775709643841411,0.263654293984322,-0.109853441077734,NAN,
