06.23.2022 03:55:43.122,Time From start,Action author,Action target,Action number,Message,First clown Appraisals Valence,First clown Appraisals Arousal,First clown Appraisals Dominance,First clown Feelings Valence,First clown Feelings Arousal,First clown Feelings Dominance,
06.23.2022 03:55:43.962,5.280126,Whitehair,Whitehair,26,Whitehair pats agent on a shoulder,0.00100000002980232,-0.00500000007450581,-0.00200000005960465,0.00110000003278256,-0.00550000008195639,-0.00220000006556511,NAN,
06.23.2022 03:55:44.942,6.259605,Whitehair,-,36,Whitehair enters the room,0.00100000002980232,-0.00500000007450581,-0.00200000005960465,0.00110000003278256,-0.00550000008195639,-0.00220000006556511,NAN,
06.23.2022 03:55:45.969,7.286325,Whitehair,Whitehair,21,Whitehair greets agent,0.0109900001783669,-0.00395000004321337,0.00302000001579523,0.0120890001962036,-0.0043450000475347,0.00332200001737475,NAN,
06.23.2022 03:55:46.989,8.30733,Whitehair,-,39,Whitehair leaves the room,-0.043669400573793,-0.00371300003120303,0.00283880000764728,-0.0480363406311723,-0.00408430003432333,0.003122680008412,NAN,
06.23.2022 03:55:57.296,18.61433,Whitehair,-,35,Whitehair brushed his hair,-0.0332327064125362,-0.00867587010484353,0.00281041200714779,-0.0365559770537898,-0.00954345711532788,0.00309145320786257,NAN,
06.23.2022 03:55:59.625,20.94343,Whitehair,-,4,Whitehair rips the - off the hanger,-0.0399003793285576,-0.00158911141740345,0.00278230788665753,-0.0438904172614134,-0.00174802255914379,0.00306053867532328,NAN,
06.23.2022 03:56:00.642,21.96022,Whitehair,-,41,Whitehair ruffles his hair,-0.0445013756038322,0.00342677977151319,0.00275448480737636,-0.0489515131642155,0.00376945774866451,0.00302993328811399,NAN,
06.23.2022 03:56:01.662,22.98023,Whitehair,-,39,Whitehair leaves the room,-0.0958312936767584,0.00322117297705232,0.00258921571236657,-0.105414423044434,0.00354329027475755,0.00284813728360323,NAN,
