02.15.2022 04:07:10.395,Time From start,Action author,Action target,Action number,Message,First clown Appraisals Valence,First clown Appraisals Arousal,First clown Appraisals Dominance,First clown Feelings Valence,First clown Feelings Arousal,First clown Feelings Dominance,
02.15.2022 04:07:15.105,Time From start25.46108,Redhead,Whitehair,16,Redhead chases <target>,-0.0200000002980232,0.0279999999403954,-0.0200000002980232,-0.0220000003278256,0.0307999999344349,-0.0220000003278256,NAN,
02.15.2022 04:07:18.166,Time From start28.52148,Redhead,Whitehair,27,Redhead points finger at <target>,-0.0106149801675624,0.0282178719611679,-0.0194059802804089,-0.0116764781843186,0.0310396591572847,-0.0213465783084498,NAN,
02.15.2022 04:07:19.183,Time From start29.53856,Redhead,Whitehair,20,Redhead flees from <target>,-0.0600842311591843,0.0768069783631095,0.0315643187336116,-0.0660926542751027,0.0844876761994204,0.0347207506069727,NAN,
02.15.2022 04:07:20.206,Time From start30.56177,Redhead,Whitehair,20,Redhead flees from <target>,-0.107080019601225,0.122966629444954,0.079986102796931,-0.117788021561348,0.135263292389449,0.0879847130766241,NAN,
02.15.2022 04:07:21.669,Time From start32.02444,Redhead,-,7,Redhead walks to the -,-0.107080019601225,0.122966629444954,0.079986102796931,-0.117788021561348,0.135263292389449,0.0879847130766241,NAN,
02.15.2022 04:07:22.689,Time From start33.04476,Redhead,Whitehair,25,Redhead makes a long nose at <target>,-0.111009219463762,0.119736963072576,0.0771862416974382,-0.122110141410139,0.131710659379834,0.084904865867182,NAN,
02.15.2022 04:07:23.731,Time From start34.08673,Redhead,Whitehair,23,Redhead kicks <target> from the back,-0.137678943939609,0.131144854633708,0.0598706537584554,-0.15144683833357,0.144259340097079,0.065857719134301,NAN,
02.15.2022 04:07:24.751,Time From start35.10633,Redhead,Whitehair,32,Redhead declines the - offered by <target>,-0.172171786696008,0.125899060370191,0.0574758275724315,-0.189388965365609,0.13848896640721,0.0632234103296747,NAN,
02.15.2022 04:07:26.827,Time From start37.18298,Redhead,-,4,Redhead rips the - off the hanger,-0.177450068788491,0.131640069732828,0.0569010692881426,-0.19519507566734,0.144804076706111,0.0625911762169569,NAN,
02.15.2022 04:07:27.842,Time From start38.19824,Redhead,Whitehair,22,Redhead ignores <target>,-0.187126567109346,0.127690867483916,0.055194037141667,-0.205839223820281,0.140459954232307,0.0607134408558337,NAN,
02.15.2022 04:07:32.208,Time From start42.56359,Redhead,Whitehair,30,Redhead pushes <target> into the trash,-0.244027706442671,0.181752504170447,-0.0186695442003604,-0.268430477086938,0.199927754587492,-0.0205364986203964,NAN,
02.15.2022 04:07:36.097,Time From start46.4529,Redhead,-,7,Redhead walks to the -,-0.244027706442671,0.181752504170447,-0.0186695442003604,-0.268430477086938,0.199927754587492,-0.0205364986203964,NAN,
02.15.2022 04:07:39.156,Time From start49.51228,Redhead,-,6,Redhead takes the -,-0.209758057953019,0.225438230213632,-0.017558706317796,-0.23073386374832,0.247982053234995,-0.0193145769495757,NAN,
02.15.2022 04:07:45.298,Time From start55.6533,Redhead,-,6,Redhead takes the -,-0.339795064056865,0.255253412907219,-0.0144288317445378,-0.373774570462551,0.280778754197941,-0.0158717149189916,NAN,
02.15.2022 04:07:48.357,Time From start58.71339,Redhead,-,7,Redhead walks to the -,-0.372149314491469,0.299311816264437,-0.0132846254022249,-0.409364245940616,0.329242997890881,-0.0146130879424474,NAN,
02.15.2022 04:07:51.433,Time From start61.78918,Redhead,-,4,Redhead rips the - off the hanger,-0.370753542979032,0.30530551109058,-0.0130202613528011,-0.407828897276935,0.335836062199638,-0.0143222874880812,NAN,
02.15.2022 04:07:53.480,Time From start63.83612,Redhead,-,4,Redhead rips the - off the hanger,-0.405483246854405,0.291117307842602,-0.0121166551823606,-0.446031571539845,0.320229038626862,-0.0133283207005967,NAN,
02.15.2022 04:07:55.527,Time From start65.88286,Redhead,-,4,Redhead rips the - off the hanger,-0.409364130180482,0.297274073388757,-0.0118755337406567,-0.45030054319853,0.327001480727632,-0.0130630871147224,NAN,
