02.15.2022 12:59:01.328,Time From start,Action author,Action target,Action number,Message,First clown Appraisals Valence,First clown Appraisals Arousal,First clown Appraisals Dominance,First clown Feelings Valence,First clown Feelings Arousal,First clown Feelings Dominance,
02.15.2022 12:59:05.328,Time From start21.26749Redhead,Whitehair,21,Redhead greets <target>,0.0100000001490116,0.00100000002980232,0.00500000007450581,0.0110000001639128,0.00110000003278256,0.00550000008195639,NAN,
02.15.2022 12:59:05.848,Time From start21.78764Redhead,Whitehair,15,Redhead begs <target> for forgiveness,0.0694000025004149,-0.0290600011664629,0.0647000024423003,0.0763400027504563,-0.0319660012831092,0.0711700026865304,NAN,
02.15.2022 12:59:06.372,Time From start22.31136Redhead,Whitehair,28,Redhead ruffles <target>'s hair,0.0580120022807121,-0.0284788011344731,0.0494060024039745,0.0638132025087833,-0.0313266812479204,0.054346602644372,NAN,
02.15.2022 12:59:08.979,Time From start24.91896Redhead,-,4,Redhead rips the - off the hanger,0.0504318822641617,-0.0211940131337858,0.0489119423725727,0.0554750704905779,-0.0233134144471644,0.05380313660983,NAN,
02.15.2022 12:59:12.006,Time From start27.94574Redhead,Whitehair,18,Redhead fights <target>,-0.0719434308300114,0.09777508823981,0.0432137011415602,-0.0791377739130125,0.107552597063791,0.0475350712557162,NAN,
02.15.2022 12:59:12.528,Time From start28.46795Redhead,Whitehair,34,Redhead greets <target> in response,-0.0612239963619792,0.0957973373130399,0.0477815641982111,-0.0673463959981772,0.105377071044344,0.0525597206180322,NAN,
02.15.2022 12:59:13.051,Time From start28.99029Redhead,Whitehair,33,Redhead ignores <target>'s greeting,-0.0987750370670542,0.095965443882628,0.00587030100575615,-0.10865254077376,0.105561988270891,0.00645733110633176,NAN,
02.15.2022 12:59:13.569,Time From start29.5079Redhead,Whitehair,28,Redhead ruffles <target>'s hair,-0.106799536445287,0.0940461349763755,-0.00824710498630614,-0.117479490089816,0.103450748474013,-0.00907181548493675,NAN,
02.15.2022 12:59:14.602,Time From start30.54205Redhead,Whitehair,31,Redhead takes - from <target>,-0.134243859400517,0.182739018318989,-0.0374397146006329,-0.147668245340569,0.201012920150888,-0.0411836860606962,NAN,
02.15.2022 12:59:15.129,Time From start31.06874Redhead,Whitehair,23,Redhead kicks <target> from the back,-0.160216544650563,0.192256848147624,-0.0513165237140288,-0.176238199115619,0.211482532962386,-0.0564481760854316,NAN,
02.15.2022 12:59:16.695,Time From start32.63503Redhead,Whitehair,20,Redhead flees from <target>,-0.174386977284435,0.273551687436546,0.00414996898150936,-0.191825675012879,0.3009068561802,0.0045649658796603,NAN,
02.15.2022 12:59:17.217,Time From start33.15689Redhead,Whitehair,23,Redhead kicks <target> from the back,-0.199155368950109,0.280345137083397,-0.0109745306889295,-0.21907090584512,0.308379650791736,-0.0120719837578225,NAN,
02.15.2022 12:59:17.733,Time From start33.67204Redhead,Whitehair,19,Redhead shows fist to <target>,-0.214180708121032,0.286934783232744,-0.0256452953512254,-0.235598778933135,0.315628261556018,-0.028209824886348,NAN,
02.15.2022 12:59:18.252,Time From start34.19186Redhead,Whitehair,21,Redhead greets <target>,-0.202038900858894,0.285065435387462,-0.0203888423193859,-0.222242790944784,0.313571978926208,-0.0224277265513245,NAN,
02.15.2022 12:59:19.817,Time From start35.75755Redhead,Whitehair,24,Redhead shows middle finger to <target>,-0.208179277045111,0.264962353482697,-0.0283836119121121,-0.228997204749622,0.291458588830967,-0.0312219731033234,NAN,
02.15.2022 12:59:20.343,Time From start36.28299Redhead,Whitehair,34,Redhead greets <target> in response,-0.196097484094627,0.261312729878586,-0.0230997757142557,-0.21570723250409,0.287444002866444,-0.0254097532856813,NAN,
02.15.2022 12:59:20.869,Time From start36.80876Redhead,Whitehair,21,Redhead greets <target>,-0.184136509075449,0.259699602570663,-0.0178687778791652,-0.202550159982994,0.28566956282773,-0.0196556556670818,NAN,
