02.15.2022 03:36:05.419,Time From start,Action author,Action target,Action number,Message,First clown Appraisals Valence,First clown Appraisals Arousal,First clown Appraisals Dominance,First clown Feelings Valence,First clown Feelings Arousal,First clown Feelings Dominance,
02.15.2022 03:36:09.568,Time From start23.82264,Redhead,Whitehair,28,Redhead ruffles <target>'s hair,-0.0100000001490116,0,-0.0139999999701977,-0.0110000001639128,0,-0.0153999999672174,NAN,
02.15.2022 03:36:12.623,Time From start26.87797,Redhead,-,6,Redhead takes the -,-0.0100000001490116,0,-0.0139999999701977,-0.0110000001639128,0,-0.0153999999672174,NAN,
02.15.2022 03:36:16.635,Time From start30.88998,Redhead,Whitehair,23,Redhead kicks <target> from the back,-0.0149650013478845,0.0635000005364418,-0.0279010005527288,-0.016461501482673,0.069850000590086,-0.0306911006080016,NAN,
02.15.2022 03:36:17.654,Time From start31.90931,Redhead,Whitehair,31,Redhead takes - from <target>,0.0154839499024846,0.0915950016367436,-0.0570639716949792,0.017032344892733,0.100754501800418,-0.0627703688644772,NAN,
02.15.2022 03:36:21.630,Time From start35.88524,Redhead,Whitehair,30,Redhead pushes <target> into the trash,-0.0555999253801382,0.148183348889548,-0.123069492552263,-0.061159917918152,0.163001683778502,-0.13537644180749,NAN,
02.15.2022 03:37:02.964,Time From start77.21812,Redhead,-,6,Redhead takes the -,-0.106263930440025,0.139292347602878,-0.115685322705707,-0.116890323484028,0.153221582363166,-0.127253854976278,NAN,
02.15.2022 03:37:17.845,Time From start92.09998,Redhead,-,7,Redhead walks to the -,-0.0456816652130726,0.225979230315726,-0.103361943688924,-0.0502498317343799,0.248577153347299,-0.113698138057816,NAN,
02.15.2022 03:37:21.927,Time From start96.1818,Redhead,-,6,Redhead takes the -,-0.0236238737356347,0.214416921027051,-0.100291990554132,-0.0259862611091982,0.235858613129756,-0.110321189609545,NAN,
