02.20.2022 08:01:53.260,Time From start,Action author,Action target,Action number,Message,First clown Appraisals Valence,First clown Appraisals Arousal,First clown Appraisals Dominance,First clown Feelings Valence,First clown Feelings Arousal,First clown Feelings Dominance,
02.20.2022 08:01:55.814,8.179889,Redhead,Whitehair,33,Redhead ignores agent's greeting,-0.0400000005960464,0.00400000011920929,-0.0400000005960464,-0.0440000006556511,0.00440000013113022,-0.0440000006556511,NAN,
02.20.2022 08:01:56.826,9.191781,Redhead,Whitehair,28,Redhead ruffles agent's hair,-0.0492000007212162,0.00392000011563301,-0.0532000005424023,-0.0541200007933378,0.00431200012719631,-0.0585200005966425,NAN,
02.20.2022 08:01:57.857,10.22309,Redhead,Whitehair,23,Redhead kicks agent from the back,-0.0777240018330216,0.0188024007035375,-0.0666040010587573,-0.0854964020163238,0.0206826407738912,-0.073264401164633,NAN,
02.20.2022 08:01:58.881,11.24733,Redhead,Whitehair,15,Redhead begs agent for forgiveness,-0.0130605591535461,-0.0123257445755961,-0.00260775845224975,-0.0143666150689007,-0.0135583190331557,-0.00286853429747473,NAN,
02.20.2022 08:01:59.897,12.2628,Redhead,-,42,Redhead paces the floor,-0.0119299535302621,-0.00720248705349765,-0.00258168086733867,-0.0131229488832883,-0.00792273575884741,-0.00283984895407254,NAN,
02.20.2022 08:02:00.926,13.29169,Redhead,Whitehair,24,Redhead shows middle finger to agent,-0.0325720553869698,-0.0129864127611322,-0.0115042311534967,-0.0358292609256668,-0.0142850540372455,-0.0126546542688463,NAN,
02.20.2022 08:02:01.954,14.31978,Redhead,Whitehair,17,Redhead expels agent from the room,-0.0906177343702796,0.0477927744196835,-0.0708139796410444,-0.0996795078073075,0.0525720518616519,-0.0778953776051489,NAN,
02.20.2022 08:02:06.010,18.37601,Redhead,-,4,Redhead rips the - off the hanger,-0.0967115569981725,0.0543148466534638,-0.0701058398340819,-0.10638271269799,0.0597463313188102,-0.0771164238174901,NAN,
02.20.2022 08:02:09.663,22.02931,Redhead,Whitehair,17,Redhead expels agent from the room,-0.15090886573189,0.111055958108945,-0.125899491661077,-0.165999752305079,0.12216155391984,-0.138489440827185,NAN,
02.20.2022 08:02:10.703,23.0694,Redhead,Whitehair,17,Redhead expels agent from the room,-0.201854335812367,0.164392602741816,-0.178345524245431,-0.222039769393604,0.180831863015998,-0.196180076669974,NAN,
02.20.2022 08:02:11.726,24.09178,Redhead,Whitehair,20,Redhead flees from agent,-0.241761619021749,0.206172972604725,-0.119428248033159,-0.265937780923924,0.226790269865198,-0.131371072836475,NAN,
02.20.2022 08:02:12.771,25.13668,Redhead,Whitehair,28,Redhead ruffles agent's hair,-0.246926386718275,0.202049513091187,-0.131039683007101,-0.271619025390103,0.222254464400305,-0.144143651307811,NAN,
02.20.2022 08:02:13.792,26.15843,Redhead,-,41,Redhead ruffles his hair,-0.249457122888803,0.205029018004673,-0.129729286157504,-0.274402835177683,0.22553191980514,-0.142702214773254,NAN,
02.20.2022 08:02:14.813,27.17897,Redhead,Whitehair,28,Redhead ruffles agent's hair,-0.254467980505695,0.200928437583476,-0.141134700365889,-0.279914778556264,0.221021281341823,-0.155248170402478,NAN,
02.20.2022 08:02:15.836,28.20141,Redhead,Whitehair,33,Redhead ignores agent's greeting,-0.284289261729839,0.196891300079583,-0.175489312863177,-0.312718187902822,0.216580430087542,-0.193038244149495,NAN,
02.20.2022 08:02:16.849,29.21474,Redhead,Whitehair,26,Redhead pats agent on a shoulder,-0.280446369040376,0.189922386974943,-0.175734419768,-0.308491005944413,0.208914625672437,-0.1933078617448,NAN,
02.20.2022 08:02:17.884,30.24965,Redhead,Whitehair,31,Redhead takes - from agent,-0.242032976442753,0.214224716331382,-0.200462388157561,-0.266236274087029,0.23564718796452,-0.220508626973317,NAN,
02.20.2022 08:02:18.902,31.26749,Redhead,Whitehair,33,Redhead ignores agent's greeting,-0.272351657836827,0.209655727669648,-0.23244389310782,-0.299586823620509,0.230621300436613,-0.255688282418602,NAN,
02.20.2022 08:02:21.855,34.22068,Redhead,-,6,Redhead takes the -,-0.272351657836827,0.209655727669648,-0.23244389310782,-0.299586823620509,0.230621300436613,-0.255688282418602,NAN,
02.20.2022 08:02:23.187,35.55296,Redhead,Whitehair,21,Redhead greets agent,-0.259628141068863,0.208559170391513,-0.2251194540676,-0.28559095517575,0.229415087430664,-0.24763139947436,NAN,
02.20.2022 08:02:24.208,36.57395,Redhead,Whitehair,32,Redhead declines the - offered by agent,-0.289243015867405,0.200216803451542,-0.216114675770714,-0.318167317454145,0.220238483796696,-0.237726143347785,NAN,
02.20.2022 08:02:25.222,37.58771,Redhead,-,41,Redhead ruffles his hair,-0.291350585740136,0.203214635461697,-0.213953528980803,-0.32048564431415,0.223536099007867,-0.235348881878884,NAN,
02.20.2022 08:02:26.253,38.61864,Redhead,Whitehair,27,Redhead points finger at agent,-0.290437079898925,0.202182489106601,-0.211813993659114,-0.319480787888817,0.222400738017261,-0.232995393025025,NAN,
