02.16.2022 12:36:45.411,Time From start,Action author,Action target,Action number,Message,First clown Appraisals Valence,First clown Appraisals Arousal,First clown Appraisals Dominance,First clown Feelings Valence,First clown Feelings Arousal,First clown Feelings Dominance,
02.16.2022 12:36:48.101,9.065572,Redhead,Whitehair,17,Redhead expels agent from the room,-0.0600000023841858,0.0600000023841858,-0.0600000023841858,-0.0660000026226044,0.0660000026226044,-0.0660000026226044,NAN,
02.16.2022 12:36:49.138,10.10332,Redhead,Whitehair,22,Redhead ignores agent,-0.0732000028371811,0.0582000022411346,-0.0582000022411346,-0.0805200031208992,0.0640200024652481,-0.0640200024652481,NAN,
02.16.2022 12:36:50.165,11.13031,Redhead,-,39,Redhead leaves the room,-0.122808003207683,0.0547080019679069,-0.0547080019679069,-0.135088803528452,0.0601788021646976,-0.0601788021646976,NAN,
02.16.2022 12:36:51.196,12.1609,Redhead,-,41,Redhead ruffles his hair,-0.126579923231813,0.0591609220145816,-0.0541609219400757,-0.139237915554994,0.0650770142160397,-0.0595770141340833,NAN,
02.16.2022 12:36:52.220,13.18429,Redhead,Whitehair,15,Redhead begs agent for forgiveness,-0.058985125151928,0.0256112653605631,0.00908873588964429,-0.0648836376671208,0.0281723918966195,0.00999760947860872,NAN,
02.16.2022 12:36:53.241,14.20522,Redhead,Whitehair,22,Redhead ignores agent,-0.0722155719231009,0.0248429273692152,0.00881607380212034,-0.079437129115411,0.0273272201061368,0.00969768118233238,NAN,
02.16.2022 12:36:54.266,15.23053,Redhead,Whitehair,22,Redhead ignores agent,-0.0850491052753666,0.0240976395185237,0.00855159157754715,-0.0935540158029033,0.0265074034703761,0.00940675073530187,NAN,
02.16.2022 12:36:55.293,16.25781,Redhead,-,42,Redhead paces the floor,-0.0831986141801373,0.0288566631942534,0.00846607566049739,-0.0915184755981511,0.0317423295136788,0.00931268322654714,NAN,
02.16.2022 12:36:56.319,17.28395,Redhead,Whitehair,26,Redhead pats agent on a shoulder,-0.0813666279961361,0.0235680964835051,0.00638141484302623,-0.0895032907957497,0.0259249061318556,0.00701955632732885,NAN,
02.16.2022 12:36:57.342,18.30632,Redhead,Whitehair,29,Redhead slaps agent into the face,-0.108925630251348,0.0438610540377418,0.0061899723901282,-0.119818193276483,0.0482471594415159,0.00680896962914103,NAN,
02.16.2022 12:37:00.499,21.46326,Redhead,-,7,Redhead walks to the -,-0.108925630251348,0.0438610540377418,0.0061899723901282,-0.119818193276483,0.0482471594415159,0.00680896962914103,NAN,
02.16.2022 12:37:01.850,22.81446,Redhead,Whitehair,22,Redhead ignores agent,-0.120657861810005,0.042545222364323,0.00600427321104534,-0.132723647991005,0.0467997446007554,0.00660470053214987,NAN,
02.16.2022 12:37:05.030,25.99473,Redhead,-,7,Redhead walks to the -,-0.120657861810005,0.042545222364323,0.00600427321104534,-0.132723647991005,0.0467997446007554,0.00660470053214987,NAN,
02.16.2022 12:37:06.051,27.0155,Redhead,-,37,Redhead crawls into the trash,-0.182211810435047,0.109567055657445,0.00558397409342981,-0.200432991478552,0.12052376122319,0.0061423715027728,NAN,
02.16.2022 12:37:07.080,28.04424,Redhead,Whitehair,23,Redhead kicks agent from the back,-0.206745457096875,0.121280044453154,-0.00958354573207615,-0.227420002806563,0.13340804889847,-0.0105419003052838,NAN,
02.16.2022 12:37:08.101,29.06595,Redhead,Whitehair,27,Redhead points finger at agent,-0.206678002554704,0.121067244020353,-0.00948771027332732,-0.227345802810174,0.133173968422388,-0.0104364813006601,NAN,
02.16.2022 12:37:09.140,30.1049,Redhead,Whitehair,31,Redhead takes - from agent,-0.17047766103959,0.147435227747512,-0.0392030801459102,-0.187525427143549,0.162178750522263,-0.0431233881605012,NAN,
02.16.2022 12:37:10.168,31.1327,Redhead,Whitehair,16,Redhead chases agent,-0.183658554794417,0.169537818490129,-0.0576349572147301,-0.202024410273859,0.186491600339141,-0.0633984529362031,NAN,
02.16.2022 12:37:11.189,32.15394,Redhead,Whitehair,28,Redhead ruffles agent's hair,-0.189985383792806,0.1661470620698,-0.0704822580234566,-0.208983922172087,0.18276176827678,-0.0775304838258023,NAN,
02.16.2022 12:37:12.217,33.18182,Redhead,-,40,Redhead gets out of the trash,-0.155486114603166,0.20783970896631,-0.0669581451222838,-0.171034726063482,0.228623679862941,-0.0736539596345122,NAN,
02.16.2022 12:37:13.240,34.20462,Redhead,-,37,Redhead crawls into the trash,-0.214602085574205,0.263290928394339,-0.0622710750435443,-0.236062294131626,0.289620021233773,-0.0684981825478987,NAN,
02.16.2022 12:37:14.262,35.22619,Redhead,Whitehair,32,Redhead declines the - offered by agent,-0.24601800261937,0.252759291101632,-0.059780232004686,-0.270619802881308,0.278035220211796,-0.0657582552051547,NAN,
02.16.2022 12:37:15.289,36.25404,Redhead,Whitehair,17,Redhead expels agent from the room,-0.291256924259841,0.297593735417095,-0.116193420326064,-0.320382616685826,0.327353108958805,-0.12781276235867,NAN,
02.16.2022 12:37:16.320,37.28434,Redhead,Whitehair,23,Redhead kicks agent from the back,-0.312519217376934,0.303665923595869,-0.127707618173815,-0.343771139114627,0.334032515955456,-0.140478379991196,NAN,
02.16.2022 12:37:17.342,38.30658,Redhead,Whitehair,17,Redhead expels agent from the room,-0.3537680659734,0.345445969840307,-0.180045163163093,-0.38914487257074,0.379990566824338,-0.198049679479402,NAN,
02.16.2022 12:37:18.369,39.33333,Redhead,-,39,Redhead leaves the room,-0.386541981886803,0.324719210826281,-0.169242452944046,-0.425196180075483,0.357191131908909,-0.186166698238451,NAN,
02.16.2022 12:37:19.417,40.38119,Redhead,Whitehair,23,Redhead kicks agent from the back,-0.404945723161497,0.329977634710444,-0.179165179750019,-0.445440295477647,0.362975398181488,-0.19708169772502,NAN,
02.16.2022 12:37:20.457,41.42187,Redhead,Whitehair,29,Redhead slaps agent into the face,-0.422797352176012,0.341078305752603,-0.173790224143936,-0.465077087393614,0.375186136327864,-0.19116924655833,NAN,
02.16.2022 12:37:24.207,45.1715,Redhead,Whitehair,30,Redhead pushes agent into the trash,-0.463201536835612,0.380202822014705,-0.231624907468942,-0.509521690519174,0.418223104216175,-0.254787398215836,NAN,
