02.15.2022 05:50:01.509,Time From start,Action author,Action target,Action number,Message,First clown Appraisals Valence,First clown Appraisals Arousal,First clown Appraisals Dominance,First clown Feelings Valence,First clown Feelings Arousal,First clown Feelings Dominance,
02.15.2022 05:50:06.523,Time From start32.86926,Redhead,Whitehair,29,Redhead slaps <target> into the face,-0.0300000011920929,0.0210000004768371,0,-0.0330000013113022,0.0231000005245209,0,NAN,
02.15.2022 05:50:07.543,Time From start33.88935,Redhead,Whitehair,34,Redhead greets <target> in response,-0.01970000102669,0.0197900004391372,0.00500000007450581,-0.021670001129359,0.0217690004830509,0.00550000008195639,NAN,
02.15.2022 05:50:11.585,Time From start37.93167,Redhead,-,7,Redhead walks to the -,-0.01970000102669,0.0197900004391372,0.00500000007450581,-0.021670001129359,0.0217690004830509,0.00550000008195639,NAN,
02.15.2022 05:50:13.632,Time From start39.97823,Redhead,-,4,Redhead rips the - off the hanger,-0.0944377897602889,0.0945206522194228,0.00460350007380545,-0.103881568736318,0.103972717441365,0.005063850081186,NAN,
02.15.2022 05:50:17.259,Time From start43.60544,Redhead,Whitehair,24,Redhead shows middle finger to <target>,-0.112604656431739,0.0856850322123372,-0.00453460564915226,-0.123865122074913,0.0942535354335709,-0.00498806621406749,NAN,
02.15.2022 05:50:19.293,Time From start45.63953,Redhead,Whitehair,27,Redhead points finger at <target>,-0.160249893753479,0.0807384907923552,-0.0042199040057627,-0.176274883128827,0.0888123398715907,-0.00464189440633897,NAN,
02.15.2022 05:50:20.309,Time From start46.65504,Redhead,Whitehair,34,Redhead greets <target> in response,-0.148647394643053,0.0789311058425983,0.000822295109429546,-0.163512134107359,0.0868242164268581,0.000904524620372501,NAN,
02.15.2022 05:50:23.375,Time From start49.721,Redhead,Whitehair,25,Redhead makes a long nose at <target>,-0.266028478476905,0.199333836197065,-0.00129590904816143,-0.292631326324595,0.219267219816772,-0.00142549995297757,NAN,
02.15.2022 05:50:24.398,Time From start50.74405,Redhead,Whitehair,19,Redhead shows fist to <target>,-0.279047624282304,0.208353821469575,-0.0162570323712182,-0.306952386710535,0.229189203616533,-0.01788273560834,NAN,
02.15.2022 05:50:25.410,Time From start51.75665,Redhead,Whitehair,19,Redhead shows fist to <target>,-0.291676195698021,0.217103207173157,-0.0307693219767482,-0.320843815267824,0.238813527890473,-0.033846254174423,NAN,
02.15.2022 05:50:26.438,Time From start52.78432,Redhead,Whitehair,20,Redhead flees from <target>,-0.32709238591312,0.2562480468145,0.0207691441220892,-0.359801624504432,0.281872851495949,0.0228460585342981,NAN,
02.15.2022 05:50:27.458,Time From start53.80496,Redhead,Whitehair,19,Redhead shows fist to <target>,-0.338279614422639,0.26356060570064,0.00514606917762134,-0.372107575864903,0.289916666270704,0.00566067609538348,NAN,
02.15.2022 05:50:30.395,Time From start56.7406,Redhead,-,6,Redhead takes the -,-0.338279614422639,0.26356060570064,0.00514606917762134,-0.372107575864903,0.289916666270704,0.00566067609538348,NAN,
02.15.2022 05:50:33.236,Time From start59.58286,Redhead,Whitehair,25,Redhead makes a long nose at <target>,-0.339896818302511,0.258924999544755,0.00309460842547366,-0.373886500132762,0.28481749949923,0.00340406926802103,NAN,
02.15.2022 05:50:34.255,Time From start60.60088,Redhead,Whitehair,23,Redhead kicks <target> from the back,-0.35969991454034,0.266157249845796,-0.0119982304270261,-0.395669905994374,0.292772974830376,-0.0131980534697287,NAN,
02.15.2022 05:50:36.301,Time From start62.64732,Redhead,Whitehair,20,Redhead flees from <target>,-0.391714918813323,0.302849387353506,0.0386016810943252,-0.430886410694656,0.333134326088857,0.0424618492037578,NAN,
02.15.2022 05:50:37.325,Time From start63.67073,Redhead,Whitehair,20,Redhead flees from <target>,-0.422129172872657,0.337706917985831,0.086671597039609,-0.464342090159923,0.371477609784414,0.0953387567435699,NAN,
02.15.2022 05:50:38.339,Time From start64.68506,Redhead,Whitehair,32,Redhead declines the - offered by <target>,-0.445244006302189,0.324198641065109,0.0832047331063643,-0.489768406932407,0.356618505171619,0.0915252064170008,NAN,
02.15.2022 05:50:39.366,Time From start65.71215,Redhead,Whitehair,32,Redhead declines the - offered by <target>,-0.467434246380761,0.311230695229267,0.0798765437325159,-0.514177671018837,0.342353764752193,0.0878641981057675,NAN,
02.15.2022 05:50:41.417,Time From start67.76321,Redhead,Whitehair,22,Redhead ignores <target>,-0.46841121902816,0.301893774001373,0.0774802473253201,-0.515252340930976,0.33208315140151,0.0852282720578521,NAN,
02.15.2022 05:50:42.436,Time From start68.78265,Redhead,Whitehair,15,Redhead begs <target> for forgiveness,-0.380306542385505,0.253780145649427,0.132831434685259,-0.418337196624056,0.279158160214369,0.146114578153785,NAN,
02.15.2022 05:50:44.489,Time From start70.83601,Redhead,Whitehair,27,Redhead points finger at <target>,-0.42144823283946,0.303955379202962,0.122297902053074,-0.463593056123407,0.334350917123258,0.134527692258382,NAN,
02.15.2022 05:50:45.520,Time From start71.86557,Redhead,Whitehair,31,Redhead takes - from <target>,-0.378804784159778,0.324836718656623,0.0886289636535988,-0.416685262575756,0.357320390522285,0.0974918600189587,NAN,
02.15.2022 05:50:47.569,Time From start73.91512,Redhead,Whitehair,23,Redhead kicks <target> from the back,-0.3840662347863,0.322090701025376,0.0701103930830965,-0.42247285826493,0.354299771127913,0.0771214323914062,NAN,
02.15.2022 05:50:51.659,Time From start78.00569,Redhead,Whitehair,34,Redhead greets <target> in response,-0.413977183621608,0.366486918491066,0.068905132659674,-0.455374901983768,0.403135610340173,0.0757956459256414,NAN,
02.15.2022 05:50:52.687,Time From start79.03344,Redhead,Whitehair,18,Redhead fights <target>,-0.443278324440527,0.398162572566513,0.0654598760266903,-0.48760615688458,0.437978829823164,0.0720058636293593,NAN,
02.15.2022 05:50:54.738,Time From start81.08427,Redhead,Whitehair,24,Redhead shows middle finger to <target>,-0.451530174916169,0.381205517646655,0.0538611181464594,-0.496683192407786,0.419326069411321,0.0592472299611053,NAN,
02.15.2022 05:50:55.759,Time From start82.10612,Redhead,Whitehair,31,Redhead takes - from <target>,-0.407984267938325,0.399769352854916,0.0222452833457653,-0.448782694732158,0.439746288140408,0.0244698116803418,NAN,
02.15.2022 05:50:56.785,Time From start83.13165,Redhead,Whitehair,16,Redhead chases <target>,-0.411664897275638,0.411778578442834,0.0013554717006522,-0.452831387003201,0.452956436287117,0.00149101887071742,NAN,
02.15.2022 05:51:00.865,Time From start87.21073,Redhead,Whitehair,21,Redhead greets <target>,-0.452029512544037,0.418509792509123,0.00616137286153121,-0.497232463798441,0.460360771760035,0.00677751014768434,NAN,
02.15.2022 05:51:01.878,Time From start88.22438,Redhead,Whitehair,20,Redhead flees from <target>,-0.479428036916835,0.447584302883667,0.0558533042184547,-0.527370840608519,0.492342733172033,0.0614386346403001,NAN,
02.15.2022 05:51:02.894,Time From start89.24059,Redhead,Whitehair,33,Redhead ignores <target>'s greeting,-0.500250915750447,0.433680930620748,0.0136191714203789,-0.550276007325492,0.477049023682823,0.0149810885624167,NAN,
02.15.2022 05:51:04.933,Time From start91.27952,Redhead,Whitehair,32,Redhead declines the - offered by <target>,-0.543266426198443,0.391353670556562,0.0122899402509475,-0.597593068818287,0.430489037612218,0.0135189342760422,NAN,
02.15.2022 05:51:06.975,Time From start93.32188,Redhead,Whitehair,21,Redhead greets <target>,-0.52146542397844,0.389515732499838,0.0170453705108334,-0.573611966376284,0.428467305749822,0.0187499075619167,NAN,
02.15.2022 05:51:07.992,Time From start94.33824,Redhead,Whitehair,29,Redhead slaps <target> into the face,-0.535821461829544,0.398830260537341,0.0165340093751887,-0.589403608012499,0.438713286591076,0.0181874103127076,NAN,
02.15.2022 05:51:09.009,Time From start95.35534,Redhead,Whitehair,31,Redhead takes - from <target>,-0.489746816143816,0.416865353437871,-0.0139620121178699,-0.538721497758198,0.458551888781659,-0.0153582133296569,NAN,
02.15.2022 05:51:10.040,Time From start96.38559,Redhead,Whitehair,18,Redhead fights <target>,-0.515259475336626,0.446022085765978,-0.0132639115119764,-0.566785422870288,0.490624294342576,-0.0145903026631741,NAN,
02.15.2022 05:51:14.195,Time From start100.5407,Redhead,Whitehair,30,Redhead pushes <target> into the trash,-0.549191311485206,0.477800537552245,-0.082335436529857,-0.604110442633727,0.52558059130747,-0.0905689801828427,NAN,
