02.15.2022 03:32:47.172,Time From start,Action author,Action target,Action number,Message,First clown Appraisals Valence,First clown Appraisals Arousal,First clown Appraisals Dominance,First clown Feelings Valence,First clown Feelings Arousal,First clown Feelings Dominance,
02.15.2022 03:32:51.175,Time From start22.68757,Redhead,Whitehair,17,Redhead expels <target> from the room,-0.0600000023841858,0.0600000023841858,-0.0600000023841858,-0.0660000026226044,0.0660000026226044,-0.0660000026226044,NAN,
02.15.2022 03:32:52.188,Time From start23.69982,Redhead,Whitehair,34,Redhead greets <target> in response,-0.0494000022023916,0.0584000023216009,-0.0544000022768974,-0.0543400024226308,0.064240002553761,-0.0598400025045872,NAN,
02.15.2022 03:32:54.231,Time From start25.74307,Redhead,Whitehair,24,Redhead shows middle finger to <target>,-0.0674688224986368,0.0549315218905547,-0.061240322829696,-0.0742157047485005,0.0604246740796102,-0.0673643551126655,NAN,
02.15.2022 03:32:55.252,Time From start26.76454,Redhead,Whitehair,31,Redhead takes - from <target>,-0.0354447565511557,0.0832835773604475,-0.0894031142638938,-0.0389892322062713,0.0916119350964923,-0.0983434256902832,NAN,
