03.12.2022 08:14:59.488,Time From start,Action author,Action target,Action number,Message,First clown Appraisals Valence,First clown Appraisals Arousal,First clown Appraisals Dominance,First clown Feelings Valence,First clown Feelings Arousal,First clown Feelings Dominance,
03.12.2022 08:14:59.536,6.083945,Redhead,-,36,Redhead enters the room,0,0,0,0,0,0,NAN,
03.12.2022 08:15:03.073,9.621156,Redhead,Whitehair,18,Redhead fights agent,-0.05,0.05,0,-0.055,0.055,0,NAN,
03.12.2022 08:15:04.089,10.63762,Redhead,Whitehair,31,Redhead takes - from agent,-0.0184999987483025,0.0785000011324883,-0.0300000011920929,-0.0203499986231327,0.0863500012457371,-0.0330000013113022,NAN,
