02.15.2022 08:18:11.568,Time From start,Action author,Action target,Action number,Message,First clown Appraisals Valence,First clown Appraisals Arousal,First clown Appraisals Dominance,First clown Feelings Valence,First clown Feelings Arousal,First clown Feelings Dominance,
02.15.2022 08:18:18.082,44.21064,Redhead,-,7,Redhead walks to the -,0,0,0,0,0,0,NAN,
02.15.2022 08:18:24.805,50.93449,Redhead,-,6,Redhead takes the -,-0.00401000004515052,0.0099500001475215,0,-0.00441100004966557,0.0109450001622736,0,NAN,
02.15.2022 08:18:29.779,55.90837,Redhead,Whitehair,26,Redhead pats <target> on a shoulder,-0.00194020098391129,0.00970199514016002,-0.00200000005960465,-0.00213422108230242,0.010672194654176,-0.00220000006556511,NAN,
02.15.2022 08:18:31.826,57.95513,Redhead,Whitehair,22,Redhead ignores <target>,-0.0168819955481275,0.00941093527438954,-0.00194000005543232,-0.0185701951029403,0.0103520288018285,-0.00213400006097555,NAN,
02.15.2022 08:18:32.847,58.97593,Redhead,Whitehair,19,Redhead shows fist to <target>,-0.0373755361383959,0.0241286078009856,-0.0168818006475031,-0.0411130897522355,0.0265414685810842,-0.0185699807122535,NAN,
02.15.2022 08:18:33.868,59.99744,Redhead,Whitehair,27,Redhead points finger at <target>,-0.0390017808310472,0.0248873217491826,-0.0167129826385125,-0.0429019589141519,0.0273760539241009,-0.0183842809023638,NAN,
02.15.2022 08:18:34.887,61.01715,Redhead,Whitehair,32,Redhead declines the - offered by <target>,-0.0774417101706049,0.0238918288643813,-0.0160444633230103,-0.0851858811876654,0.0262810117508194,-0.0176489096553113,NAN,
