06.23.2022 03:50:43.199,Time From start,Action author,Action target,Action number,Message,First clown Appraisals Valence,First clown Appraisals Arousal,First clown Appraisals Dominance,First clown Feelings Valence,First clown Feelings Arousal,First clown Feelings Dominance,
06.23.2022 03:50:43.242,4.566911,Whitehair,-,36,Whitehair enters the room,0,0,0,0,0,0,NAN,
06.23.2022 03:50:45.091,6.416364,Whitehair,Whitehair,32,Whitehair declines the - offered by agent,-0.0400000005960464,0,0,-0.0440000006556511,0,0,NAN,
06.23.2022 03:50:46.117,7.441405,Whitehair,Whitehair,34,Whitehair greets agent in response,-0.0296000004351139,-0.00100000002980232,0.00500000007450581,-0.0325600004786253,-0.00110000003278256,0.00550000008195639,NAN,
06.23.2022 03:50:47.142,8.467049,Whitehair,Whitehair,20,Whitehair flees from agent,-0.0781200004133582,0.0490499999716878,0.0547500000707805,-0.085932000454694,0.0539549999688566,0.0602250000778586,NAN,
06.23.2022 03:50:48.159,9.484049,Whitehair,Whitehair,20,Whitehair flees from agent,-0.12421400039269,0.0965974999731034,0.102012500067242,-0.136635400431959,0.106257249970414,0.112213750073966,NAN,
06.23.2022 03:50:49.243,10.56791,Whitehair,Whitehair,27,Whitehair points finger at agent,-0.124971860429859,0.0966315249887806,0.100992375051368,-0.137469046472845,0.106294677487659,0.111091612556505,NAN,
06.23.2022 03:50:50.259,11.58427,Whitehair,-,41,Whitehair ruffles his hair,-0.128722141881444,0.100665209798999,0.0999824512858053,-0.141594356069588,0.110731730778899,0.109980696414386,NAN,
06.23.2022 03:50:51.273,12.59781,Whitehair,Whitehair,31,Whitehair takes - from agent,-0.0948604762794587,0.12764525457712,0.0669829764359499,-0.104346523907405,0.140409780034832,0.0736812740795449,NAN,
06.23.2022 03:50:52.287,13.61212,Whitehair,Whitehair,20,Whitehair flees from agent,-0.140117452465486,0.171262991848264,0.113633827614152,-0.154129197712034,0.18838929103309,0.124997210375568,NAN,
06.23.2022 03:50:56.352,17.67705,Whitehair,-,6,Whitehair takes the -,-0.140117452465486,0.171262991848264,0.113633827614152,-0.154129197712034,0.18838929103309,0.124997210375568,NAN,
