05.06.2022 01:58:07.008,Time From start,Action author,Action target,Action number,Message,First clown Appraisals Valence,First clown Appraisals Arousal,First clown Appraisals Dominance,First clown Feelings Valence,First clown Feelings Arousal,First clown Feelings Dominance,
05.06.2022 01:58:08.190,9.128139,Redhead,Whitehair,29,Redhead slaps agent into the face,-0.0300000011920929,0.0210000004768371,0,-0.0330000013113022,0.0231000005245209,0,NAN,
05.06.2022 01:58:09.171,10.10985,Redhead,-,37,Redhead crawls into the trash,-0.0978999999523163,0.0895299992763996,0,-0.107689999947548,0.0984829992040396,0,NAN,
05.06.2022 01:58:10.192,11.13045,Redhead,Whitehair,23,Redhead kicks agent from the back,-0.124963001029134,0.101844099787426,-0.0150000005960464,-0.137459301132047,0.112028509766169,-0.0165000006556511,NAN,
05.06.2022 01:58:11.217,12.15578,Redhead,-,36,Redhead enters the room,-0.124963001029134,0.101844099787426,-0.0150000005960464,-0.137459301132047,0.112028509766169,-0.0165000006556511,NAN,
05.06.2022 01:58:12.265,13.20321,Redhead,-,40,Redhead gets out of the trash,-0.0937148509776771,0.146751894798055,-0.0142500005662441,-0.103086336075445,0.16142708427786,-0.0156750006228685,NAN,
05.06.2022 01:58:13.307,14.24548,Redhead,-,42,Redhead paces the floor,-0.0917777024241334,0.150284375902712,-0.0141075005584583,-0.100955472666547,0.165312813492983,-0.0155182506143041,NAN,
05.06.2022 01:58:14.334,15.27326,Redhead,Whitehair,19,Redhead shows fist to agent,-0.110024371718839,0.160775845042524,-0.0286842761209335,-0.121026808890723,0.176853429546777,-0.0315527037330269,NAN,
05.06.2022 01:58:15.374,16.31219,Redhead,Whitehair,21,Redhead greets agent,-0.0989241278362441,0.160168086597944,-0.0233974332809441,-0.108816540619869,0.176184895257738,-0.0257371766090385,NAN,
