02.15.2022 04:31:02.997,Time From start,Action author,Action target,Action number,Message,First clown Appraisals Valence,First clown Appraisals Arousal,First clown Appraisals Dominance,First clown Feelings Valence,First clown Feelings Arousal,First clown Feelings Dominance,
02.15.2022 04:31:03.041,Time From start21.83507,Redhead,-,37,Redhead crawls into the trash,-0.0699999988079071,0.0699999988079071,0,-0.0769999986886978,0.0769999986886978,0,NAN,
02.15.2022 04:31:09.125,Time From start27.91979,Redhead,-,4,Redhead rips the - off the hanger,-0.0762999987944961,0.0762999987944961,0,-0.0839299986739457,0.0839299986739457,0,NAN,
02.15.2022 04:31:10.276,Time From start29.07018,Redhead,Whitehair,33,Redhead ignores <target>'s greeting,-0.113247999393284,0.0772479989164472,-0.0400000005960464,-0.124572799332613,0.0849727988080919,-0.0440000006556511,NAN,
