02.15.2022 08:45:26.527,Time From start,Action author,Action target,Action number,Message,First clown Appraisals Valence,First clown Appraisals Arousal,First clown Appraisals Dominance,First clown Feelings Valence,First clown Feelings Arousal,First clown Feelings Dominance,
02.15.2022 08:45:26.571,39.45205,Redhead,-,41,Redhead ruffles his hair,-0.00500000007450581,0.00500000007450581,0,-0.00550000008195639,0.00550000008195639,0,NAN,
02.15.2022 08:45:34.768,47.64934,Redhead,Whitehair,29,Redhead slaps agent into the face,-0.0348500012584031,0.0258500005431473,0,-0.0383350013842434,0.028435000597462,0,NAN,
02.15.2022 08:45:35.791,48.67265,Redhead,Whitehair,28,Redhead ruffles agent's hair,-0.0441530013718605,0.0253330005245805,-0.0139999999701977,-0.0485683015090466,0.0278663005770385,-0.0153999999672174,NAN,
02.15.2022 08:45:36.811,49.69254,Redhead,Whitehair,20,Redhead flees from agent,-0.0919453513032675,0.0740663504983514,0.0367000000283122,-0.101139886433594,0.0814729855481866,0.0403700000311434,NAN,
02.15.2022 08:45:37.832,50.71336,Redhead,Whitehair,20,Redhead flees from agent,-0.137348083738104,0.120363032973434,0.0848650000268966,-0.151082892111915,0.132399336270777,0.0933515000295863,NAN,
02.15.2022 08:45:38.854,51.73569,Redhead,Whitehair,26,Redhead pats agent on a shoulder,-0.134974602850454,0.114159402551258,0.0820163499543771,-0.1484720631355,0.125575342806384,0.0902179849498148,NAN,
02.15.2022 08:45:42.058,54.93959,Redhead,-,7,Redhead walks to the -,-0.112388607918864,0.101937630259285,0.0803842245660867,-0.12362746871075,0.112131393285213,0.0884226470226953,NAN,
02.15.2022 08:45:43.086,55.96754,Redhead,Whitehair,25,Redhead makes a long nose at agent,-0.116264721897434,0.0989182538818974,0.077580382248843,-0.127891194087177,0.108810079270087,0.0853384204737273,NAN,
02.15.2022 08:45:44.105,56.98583,Redhead,Whitehair,18,Redhead fights agent,-0.160451485802562,0.143972341187803,0.0737013631364008,-0.176496634382818,0.158369575306583,0.0810714994500409,NAN,
